timestamp,s1_c1_y,s1_c2_y,s2_c1_y,s2_c2_y,s3_c1_y,s3_c2_y,s4_c1_y,s4_c2_y,s5_c1_y,s5_c2_y,s6_c1_y,s6_c2_y
-38,0,57.8,0,41.3,0,67.9955,0,23,0,49.4,0,54.2
-37,0,57.5,0,41,0,67.9893,0,22.7,0,49.1,0,53.9
-36,0,57.2,0,40.7,0,67.9792,0,22.4,0,48.8,0,53.6
-35,0,56.9,0,40.4,0,67.964,0,22.1,0,48.5,0,53.3
-34,0,56.6,0,40.1,0,67.9428,0,21.8,0,48.2,0,53
-33,0,56.3,0,39.8,0,67.9147,0,21.5,0,47.9,0,52.7
-32,0,56,0,39.5,0,67.8785,0,21.2,0,47.6,0,52.4
-31,0,55.7,0,39.2,0,67.8333,0,20.9,0,47.3,0,52.1
-30,0,55.4,0,38.9,0,67.7783,0,20.6,0,47,0,51.8
-29,0,55.1,0,38.6,0,67.7133,0,20.3,0,46.7,0,51.5
-28,0,54.8,0,38.3,0,67.6383,0,20,0,46.4,0,51.2
-27,0,54.5,0,38,0,67.5533,0,19.7,0,46.1,0,50.9
-26,0,54.2,0,37.7002,0,67.4583,0,19.4,0,45.8,0,50.6
-25,0,53.9,0,37.4013,0,67.3533,0,19.1,0,45.5,0,50.3
-24,0,53.6004,0,37.1045,0,67.2383,0,18.8,0,45.2,0,50
-23,0,53.3021,0,36.8107,0,67.1133,0,18.5,0,44.9,0,49.7
-22,0,53.0062,0,36.5208,0,66.9783,0,18.2,0,44.6,0,49.4
-21,0,52.7136,0,36.236,0,66.8333,0,17.9,0,44.3,0,49.1
-20,0,52.4253,0,35.9572,0,66.6783,0,17.6,0,44,0,48.8
-19,0,52.1423,0,35.6853,0,66.5133,0,17.3,0,43.7,0,48.5
-18,0,51.8657,0,35.4215,0,66.3383,0,17,0,43.4,0,48.2
-17,0,51.5965,0,35.1667,0,66.1533,0,16.7,0,43.1,0,47.9
-16,0,51.3355,0,34.9217,0,65.9587,0,16.4,0,42.8,0,47.6
-15,0,51.0839,0,34.6867,0,65.7553,0,16.1,0,42.5,0,47.3
-14,0,50.8422,0,34.4617,0,65.5442,0,15.8,0,42.2,0,47
-13,0,50.6106,0,34.2467,0,65.3264,0,15.5,0,41.9,0,46.7
-12,0,50.3889,0,34.0417,0,65.1028,0,15.2,0,41.6,0,46.4
-11,0,50.1772,0,33.8467,0,64.8746,0,14.9,0,41.3,0,46.1
-10,0,49.9756,0,33.6617,0,64.6426,0,14.6,0,41,0,45.8
-9,0,49.7839,0,33.4867,0,64.4078,0,14.3,0,40.7,0,45.5
-8,0,49.6022,0,33.3217,0,64.1714,0,14,0,40.4,0,45.2
-7,0,49.4306,0,33.1667,0,63.9342,0,13.7,0,40.1,0,44.9
-6,0,49.2689,0,33.0217,0,63.6974,0,13.4,0,39.8,0,44.6
-5,0,49.1172,0,32.8867,0,63.4618,0,13.1,0,39.5,0,44.3
-4,0,48.9756,0,32.7617,0,63.2284,0,12.8,0,39.2,0,44
-3,0,48.8439,0,32.6467,0,62.9984,0,12.5,0,38.9,0,43.7
-2,0,48.7222,0,32.5417,0,62.7726,0,12.2,0,38.6,0,43.4
-1,0,48.6106,0,32.4467,0,62.5521,0,11.9,0,38.3,0,43.1
0,0,48.5089,0,32.3617,0,62.3379,0,11.6,0,38,0,42.8
1,0,48.4172,0,32.2867,0,62.1309,0,11.3,0,37.7,0,42.5
2,0,48.3356,0,32.2217,0,61.9323,0,11,0,37.4,0,42.2
3,0,48.2639,0,32.1667,0,61.7429,0,10.7,0,37.1,0,41.9
4,0,48.2022,0,32.1215,0,61.5634,0,10.4,0,36.8,0,41.6
5,0,48.1505,0,32.0853,0,61.394,0,10.1,0,36.5,0,41.3
6,0,48.1085,0,32.0572,0,61.2345,0,9.8,0,36.2,0,41
7,0,48.0751,0,32.036,0,61.0851,0,9.5008,0,35.9,0,40.7
8,0,48.0494,0,32.0208,0,60.9456,0,9.2032,0,35.6,0,40.4
9,0,48.0303,0,32.0107,0,60.8161,0,8.9082,0,35.3,0,40.1
10,0,48.0169,0,32.0045,0,60.6967,0,8.6169,0,35,0,39.8
11,0,48.0082,0,32.0013,0,60.5872,0,8.3303,0,34.7,0,39.5
12,0,48.0032,0,32.0002,0,60.4878,0,8.0494,0,34.4,0,39.2
13,0,48.0008,0,32,0,60.3983,0,7.7751,0,34.1,0,38.9
14,0,48,0,32,0,60.3188,0,7.5085,0,33.8,0,38.6
15,0,48,0,32,0,60.2494,0,7.2505,0,33.5,0,38.3
16,0,48,0,32,0,60.1899,0,7.0022,0,33.2,0,38
17,0,48,0,32,0,60.1405,0,6.7639,0,32.9,0,37.7
18,0,48,0,32,0,60.1004,0,6.5356,0,32.6,0,37.4
19,0,48,0,32,0,60.0688,0,6.3172,0,32.3,0,37.1
20,0,48,0,32,0,60.0446,0,6.1089,0,32,0,36.8
21,0,48,0,32,0,60.0269,0,5.9106,0,31.7,0,36.5
22,0,48,0,32,0,60.0146,0,5.7222,0,31.4,0,36.2
23,0,48,0,32,0,60.0068,0,5.5439,0,31.1,0,35.9
24,0,48,0,32,0,60.0024,0,5.3756,0,30.8,0,35.6
25,0,48,0,32,0,60.0005,0,5.2172,0,30.5,0,35.3
26,0,48,0,32,0,60,0,5.0689,0,30.2,0,35
